garment_type,name,description,duration_min,base_price
Pantalón,Ajuste de cintura,Reducción o ampliación de la cintura del pantalón,30,85.0
Pantalón,Ajuste de costado,Ajuste en los laterales para mejorar la silueta,30,80.0
Pantalón,Ajuste de piernas,Reducción del ancho de las piernas del pantalón,30,85.0
Pantalón,Valenciana española,Dobladillo con estilo de valenciana española,20,70.0
Pantalón,Dobladillo a mano,Ajuste de largo cosido a mano para un acabado invisible,30,85.0
Pantalón,Dobladillo a máquina,Ajuste de largo cosido a máquina,15,80.0
Pantalón,Cambio de cierre de Nylon o invisible,Reemplazo de cremallera de nylon o invisible,45,85.0
Pantalón,Cambio de cierre de Metal,Reemplazo de cremallera metálica,45,90.0
Pantalón,Ajuste de cintura con costado,Ajuste combinado de cintura y laterales,60,145.0
Pantalón,Ajuste de piernas con dobladillo,Ajuste de ancho de piernas y largo,45,145.0
Pantalón,Ajuste de cintura con costado y dobladillo,Ajuste completo de cintura laterales y largo,75,190.0
Pantalón,Ajuste de cintura con piernas y dobladillo,Ajuste de cintura ancho de piernas y largo,75,190.0
Pantalón,Poner parche,Aplicación de un parche en zona dañada,15,35.0
Pantalón,Poner parches,Aplicación de múltiples parches,30,60.0
Pantalón,Cambio de bolsa,Reemplazo de un bolsillo interno dañado,30,80.0
Pantalón,Cambio de bolsas,Reemplazo de ambos bolsillos internos,60,140.0
Pantalón,Poner falso en pretina,Adición de falso de tela para extender la pretina,45,145.0
Pantalón,Poner ajustador,Instalación de ajustador en la cintura,20,75.0
Pantalón,Quitar pinzas,Eliminación de pinzas para soltar tela,30,125.0
Pantalón,Quitar pinzas con ajuste de piernas,Eliminación de pinzas y ajuste de ancho de piernas,60,200.0
Pantalón,Quitar pinzas con ajuste de costados y ajuste de cintura,Eliminación de pinzas con ajuste lateral y de cintura,90,280.0
Pantalón,Recoser tiro,Reparación de costura en el tiro del pantalón,15,35.0
Pantalón,Poner parche en tiro,Aplicación de parche en la zona del tiro,20,35.0
Pantalón,Recoser costado,Reparación de costura en un lateral,15,45.0
Pantalón,Recoser costados,Reparación de costuras en ambos laterales,25,60.0
Pantalón,Cambio de cierre de lado al centro,Modificación de la posición del cierre de lado a centro,60,180.0
Pantalón,Aumento con cuchillas,Ampliación de talla mediante inserción de cuchillas de tela,60,140.0
Pantalón,Aumentar cintura por pinzas,Ampliación de cintura soltando costura de pinzas,30,145.0
Pantalón,Cambio de forro,Reemplazo completo del forro interior,90,280.0
Pantalón,Colocar botón metal,Instalación de botón metálico,5,20.0
Pantalón,Colocar botón plástico,Instalación de botón de plástico,5,10.0
Pantalón,Correr ajuste,Modificación y reubicación de ajuste,45,175.0
